location,date,Alpha,Beta,Delta,Epsilon,Gamma,Iota,omicron_1,omicron_2,omicron_3,omicron_4
17001,2021-04-19,0.0,0.0,0.0,0.0,0.666666666666667,0.0,0.0,0.0,0.0,0.0
17001,2021-04-22,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
17001,2021-04-23,0.333333333333333,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0
17001,2021-04-25,0.428571428571429,0.0,0.0,0.0,0.285714285714286,0.0,0.0,0.0,0.0,0.0
17001,2021-04-26,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
17001,2021-04-27,0.818181818181818,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0
17001,2021-05-04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17001,2021-05-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
17001,2021-05-06,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
17001,2021-05-10,0.833333333333333,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0
17001,2021-05-11,0.916666666666667,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0
17001,2021-05-12,0.833333333333333,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0
17001,2021-05-13,0.818181818181818,0.0,0.0,0.0,0.181818181818182,0.0,0.0,0.0,0.0,0.0
17001,2021-05-17,0.666666666666667,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0
17001,2021-05-18,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0
17001,2021-05-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17001,2021-05-27,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
